Election_District,Column_2,Zohran Kwame Mamdani,Curtis A. Sliwa,Irene Estrada,Zohran Kwame Mamdani_1,Curtis A. Sliwa_1,Eric L. Adams,Joseph Hernandez,Andrew M. Cuomo,Jim Walden,WRITE-IN
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ED    1,99,400,100,1,82,7,0,1,312,0,2
ED    2,99,52,10,2,5,0,0,0,57,0,0
ED    3,99,277,40,0,45,2,0,0,182,1,0
ED    4,99,357,45,1,126,3,0,1,157,1,2
ED    5,99,420,52,1,137,9,2,0,222,2,2
ED    6,85.71,24,7,0,3,1,0,0,31,0,0
ED    7,99,387,42,4,117,2,1,1,192,0,3
ED    8,99,457,53,0,110,5,2,0,247,2,3
ED    9,99,299,70,0,80,7,0,0,227,1,1
ED   10,99,198,38,1,29,1,0,1,169,1,1
ED   11,88.89,106,17,0,20,1,1,0,99,0,0
ED   12,99,488,46,0,186,6,2,0,248,0,0
ED   13,99,455,59,0,118,5,1,0,226,2,3
ED   14,99,428,82,1,134,10,0,0,339,1,3
ED   15,99,115,48,1,20,1,0,0,161,0,0
ED   16,99,78,41,1,16,3,0,0,147,0,0
ED   17,88.89,316,55,0,95,4,2,0,219,1,0
ED   18,88.89,405,45,0,109,2,2,0,236,1,3
ED   19,88.89,375,53,0,131,1,3,0,193,0,0
ED   20,88.89,400,67,1,135,9,1,0,237,1,4
ED   21,85.71,180,17,3,16,1,2,0,185,0,0
ED   22,85.71,99,18,1,13,2,0,1,96,0,0
ED   23,85.71,109,19,0,43,2,2,1,72,0,0
ED   24,85.71,350,62,0,101,7,1,0,192,2,1
ED   25,85.71,309,55,0,84,6,2,1,291,1,2
ED   26,99,35,6,0,13,1,0,0,37,0,0
ED   27,99,199,64,1,30,3,1,0,252,0,1
ED   28,88.89,121,18,2,19,3,2,0,90,0,1
ED   29,99,191,27,1,22,2,1,0,181,0,2
ED   30,99,203,35,0,18,2,1,1,176,0,0
ED   31,99,362,40,2,43,2,2,0,199,0,0
ED   32,99,189,35,1,15,0,0,0,144,0,1
ED   33,99,111,18,1,16,2,1,1,108,1,0
ED   34,99,220,36,3,31,2,2,0,156,1,0
ED   35,99,171,22,1,8,0,0,0,110,0,0
ED   36,99,357,56,1,37,2,2,0,191,1,0
ED   37,99,147,24,4,21,1,0,0,114,0,1
ED   38,99,168,21,2,22,1,1,0,82,0,0
ED   39,99,340,31,1,75,6,2,0,193,2,0
ED   40,88.89,165,36,2,17,3,1,0,138,1,0
ED   41,99,294,52,2,97,4,2,1,254,2,0
ED   42,99,220,32,1,48,5,1,0,194,1,0
ED   43,99,239,34,2,49,4,0,1,181,0,0
ED   44,88.89,249,37,5,37,1,1,0,211,0,0
ED   45,88.89,118,24,1,21,1,0,1,68,0,0
ED   46,88.89,278,48,2,64,4,2,0,295,1,1
ED   47,99,233,54,1,35,8,2,1,286,1,3
ED   48,88.89,190,26,0,35,1,2,0,125,0,0
ED   49,88.89,310,39,2,76,2,1,0,245,3,2
ED   50,99,52,13,2,11,3,1,2,31,1,1
ED   51,99,238,51,1,30,3,2,0,236,1,2
ED   52,99,334,49,1,63,6,0,0,219,1,1
ED   53,99,4,0,0,1,0,0,0,0,0,0
ED   54,99,176,34,1,21,2,1,1,168,2,1
ED   55,99,74,9,0,13,2,0,0,43,0,1
ED   56,99,150,41,0,33,1,3,0,184,1,1
ED   57,99,16,6,0,1,0,0,0,11,0,0
ED   58,85.71,0,0,0,0,0,0,0,0,0,0
ED   59,99,0,0,0,0,0,0,0,0,0,0
ED   60,99,0,0,0,0,0,0,0,0,0,0
Total,NA,13238,2159,61,2977,174,58,16,9659,37,49
