"name","label","concept","geography"
"B03002_001","Estimate!!Total:","Hispanic or Latino Origin by Race","block group"
"B03002_002","Estimate!!Total:!!Not Hispanic or Latino:","Hispanic or Latino Origin by Race","block group"
"B03002_003","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Hispanic or Latino Origin by Race","block group"
"B03002_004","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Hispanic or Latino Origin by Race","block group"
"B03002_005","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Hispanic or Latino Origin by Race","block group"
"B03002_006","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Hispanic or Latino Origin by Race","block group"
"B03002_007","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Hispanic or Latino Origin by Race","block group"
"B03002_008","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Hispanic or Latino Origin by Race","block group"
"B03002_009","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Hispanic or Latino Origin by Race","block group"
"B03002_010","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Hispanic or Latino Origin by Race","block group"
"B03002_011","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Hispanic or Latino Origin by Race","block group"
"B03002_012","Estimate!!Total:!!Hispanic or Latino:","Hispanic or Latino Origin by Race","block group"
"B03002_013","Estimate!!Total:!!Hispanic or Latino:!!White alone","Hispanic or Latino Origin by Race","block group"
"B03002_014","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Hispanic or Latino Origin by Race","block group"
"B03002_015","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Hispanic or Latino Origin by Race","block group"
"B03002_016","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Hispanic or Latino Origin by Race","block group"
"B03002_017","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Hispanic or Latino Origin by Race","block group"
"B03002_018","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Hispanic or Latino Origin by Race","block group"
"B03002_019","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Hispanic or Latino Origin by Race","block group"
"B03002_020","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Hispanic or Latino Origin by Race","block group"
"B03002_021","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Hispanic or Latino Origin by Race","block group"
