,,,Zohran Kwame Mamdani,,Curtis A. Sliwa,,Irene Estrada,,Zohran Kwame Mamdani,,Curtis A. Sliwa,,Eric L. Adams,,Joseph Hernandez,,Andrew M. Cuomo,,Jim Walden,,WRITE-IN,
ED 1,99.00%,,329,,67,,0,,57,,7,,1,,2,,237,,0,,1,
ED 2,88.89%,,145,,16,,0,,54,,2,,0,,1,,79,,0,,2,
ED 3,99.00%,,407,,45,,0,,149,,6,,0,,0,,312,,2,,6,
ED 4,99.00%,,325,,54,,0,,108,,7,,0,,0,,210,,0,,0,
ED 5,99.00%,,476,,70,,0,,156,,5,,3,,0,,331,,3,,5,
ED 6,75.00%,,175,,9,,1,,24,,1,,2,,1,,135,,1,,0,
ED 7,75.00%,,403,,36,,0,,65,,1,,2,,0,,138,,0,,3,
ED 8,87.50%,,288,,45,,0,,83,,4,,1,,0,,201,,0,,0,
ED 9,85.71%,,293,,31,,1,,95,,3,,0,,0,,96,,0,,2,
ED 10,99.00%,,555,,61,,0,,177,,6,,1,,1,,200,,2,,0,
ED 11,85.71%,,223,,17,,0,,46,,3,,0,,0,,100,,1,,0,
ED 12,85.71%,,358,,36,,0,,123,,2,,0,,0,,106,,0,,6,
ED 13,87.50%,,344,,47,,0,,76,,1,,0,,0,,146,,1,,1,
ED 14,87.50%,,491,,36,,0,,118,,3,,2,,0,,152,,0,,2,
ED 15,87.50%,,166,,9,,0,,27,,2,,2,,0,,42,,1,,1,
ED 16,87.50%,,319,,25,,0,,89,,0,,0,,0,,124,,2,,1,
ED 17,87.50%,,457,,43,,0,,140,,1,,1,,0,,176,,2,,5,
ED 18,90.91%,,243,,20,,0,,60,,3,,1,,1,,66,,1,,3,
ED 19,90.91%,,476,,37,,2,,134,,3,,0,,0,,189,,1,,3,
ED 20,90.91%,,487,,42,,0,,150,,6,,2,,0,,158,,0,,2,
ED 21,87.50%,,434,,31,,0,,140,,1,,1,,0,,141,,0,,2,
ED 22,87.50%,,473,,34,,0,,190,,6,,1,,1,,182,,1,,2,
ED 23,88.89%,,422,,48,,0,,150,,3,,0,,0,,171,,1,,3,
ED 24,88.89%,,341,,30,,0,,88,,2,,0,,2,,110,,1,,3,
ED 25,90.91%,,533,,41,,0,,167,,9,,0,,0,,161,,1,,1,
ED 26,88.89%,,276,,22,,0,,91,,5,,0,,0,,69,,0,,3,
ED 27,88.89%,,122,,9,,0,,46,,1,,1,,1,,57,,0,,0,
ED 28,90.00%,,441,,61,,1,,132,,5,,0,,0,,198,,1,,2,
ED 29,90.00%,,74,,7,,1,,9,,0,,0,,0,,15,,0,,0,
ED 30,90.00%,,198,,21,,4,,65,,0,,0,,0,,79,,0,,2,
ED 31,88.89%,,285,,23,,0,,73,,0,,1,,0,,89,,0,,0,
ED 32,88.89%,,372,,15,,0,,86,,2,,2,,0,,106,,0,,1,
ED 33,90.00%,,48,,6,,0,,12,,2,,0,,0,,18,,0,,0,
ED 34,85.71%,,39,,5,,0,,12,,1,,0,,0,,27,,0,,1,
ED 35,99.00%,,529,,20,,0,,89,,2,,0,,0,,167,,0,,4,
ED 36,99.00%,,352,,29,,0,,61,,0,,1,,0,,176,,2,,2,
ED 37,99.00%,,386,,12,,0,,63,,3,,2,,0,,90,,3,,3,
ED 38,87.50%,,174,,27,,1,,16,,3,,5,,0,,176,,0,,1,
ED 39,87.50%,,178,,24,,1,,21,,6,,6,,1,,206,,0,,3,
ED 40,87.50%,,213,,23,,3,,20,,2,,9,,0,,169,,2,,4,
ED 41,85.71%,,483,,27,,0,,103,,3,,0,,1,,136,,2,,2,
ED 42,85.71%,,476,,16,,0,,111,,2,,0,,1,,133,,1,,6,
ED 43,87.50%,,317,,20,,0,,65,,2,,0,,0,,73,,1,,1,
ED 44,88.89%,,400,,52,,1,,126,,4,,1,,0,,155,,1,,3,
ED 45,87.50%,,227,,22,,0,,68,,2,,0,,0,,96,,0,,0,
ED 46,85.71%,,202,,21,,0,,24,,4,,3,,0,,193,,0,,0,
ED 47,85.71%,,184,,22,,0,,21,,3,,4,,0,,181,,0,,1,
ED 48,87.50%,,240,,13,,0,,59,,3,,0,,0,,68,,0,,0,
ED 49,99.00%,,331,,18,,1,,85,,5,,0,,0,,150,,4,,4,
ED 50,87.50%,,32,,1,,0,,10,,1,,0,,0,,24,,0,,1,
ED 51,85.71%,,161,,12,,1,,41,,2,,0,,0,,71,,1,,0,
ED 52,87.50%,,91,,16,,0,,13,,2,,1,,0,,42,,0,,0,
ED 53,87.50%,,138,,9,,0,,31,,1,,0,,0,,52,,0,,1,
ED 54,87.50%,,392,,26,,2,,114,,1,,0,,2,,146,,0,,1,
ED 55,87.50%,,374,,36,,0,,96,,4,,0,,1,,198,,1,,2,
ED 56,83.33%,,359,,68,,4,,128,,4,,0,,2,,356,,1,,6,
ED 57,88.89%,,401,,31,,0,,114,,0,,1,,0,,151,,0,,2,
ED 58,90.91%,,280,,19,,0,,81,,2,,2,,1,,89,,0,,3,
ED 59,90.91%,,318,,20,,0,,58,,3,,0,,1,,122,,3,,4,
ED 60,88.89%,,270,,29,,1,,83,,0,,0,,1,,101,,1,,0,
ED 61,90.00%,,251,,25,,0,,109,,3,,0,,0,,113,,1,,0,
ED 62,90.91%,,383,,24,,1,,133,,1,,0,,0,,137,,1,,2,
ED 63,90.00%,,475,,51,,0,,161,,4,,1,,0,,143,,3,,1,
ED 64,99.00%,,214,,31,,0,,62,,6,,0,,0,,140,,0,,3,
ED 65,90.00%,,379,,45,,0,,119,,4,,1,,0,,141,,1,,1,
ED 66,90.00%,,66,,1,,0,,21,,0,,0,,1,,19,,0,,1,
ED 67,90.00%,,30,,2,,0,,15,,0,,0,,0,,12,,0,,0,
ED 68,87.50%,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ED 69,87.50%,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
ED 70,99.00%,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Total,,,20324,,1891,,26,,5513,,185,,61,,22,,8847,,51,,125,
