candidate_name,party,votes,election,office,file
Donald J. Trump / JD Vance,Conservative,785,General Election 2024 - 11/05/2024,President/Vice President,00400100000Queens President Vice President Citywide EDLevel_AD34.csv
Donald J. Trump / JD Vance,Republican,13644,General Election 2024 - 11/05/2024,President/Vice President,00400100000Queens President Vice President Citywide EDLevel_AD34.csv
Kamala D. Harris / Tim Walz,Democratic,20216,General Election 2024 - 11/05/2024,President/Vice President,00400100000Queens President Vice President Citywide EDLevel_AD34.csv
Kamala D. Harris / Tim Walz,Working Families,2538,General Election 2024 - 11/05/2024,President/Vice President,00400100000Queens President Vice President Citywide EDLevel_AD34.csv
Kathy C. Hochul / Antonio Delgado,Democratic,12486,General Election - 11/08/2022,Governor/Lieutenant Governor,00400200000Queens Governor Lieutenant Governor Citywide EDLevel_AD34.csv
Kathy C. Hochul / Antonio Delgado,Working Families,2294,General Election - 11/08/2022,Governor/Lieutenant Governor,00400200000Queens Governor Lieutenant Governor Citywide EDLevel_AD34.csv
Lee Zeldin / Alison Esposito,Conservative,502,General Election - 11/08/2022,Governor/Lieutenant Governor,00400200000Queens Governor Lieutenant Governor Citywide EDLevel_AD34.csv
Lee Zeldin / Alison Esposito,Republican,7259,General Election - 11/08/2022,Governor/Lieutenant Governor,00400200000Queens Governor Lieutenant Governor Citywide EDLevel_AD34.csv
Catherine Rojas,Socialism & Lib,450,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Curtis A. Sliwa,Independent,117,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Curtis A. Sliwa,Republican,3068,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Eric L. Adams,Democratic,7218,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
Fernando Mateo,Save Our City,39,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv
