candidate_name,total_votes,party_lines,parties,election,office,file,is_fusion
Donald J. Trump / JD Vance,14429,2,Republican + Conservative,General Election 2024 - 11/05/2024,President/Vice President,00400100000Queens President Vice President Citywide EDLevel_AD34.csv,TRUE
Kamala D. Harris / Tim Walz,22754,2,Democratic + Working Families,General Election 2024 - 11/05/2024,President/Vice President,00400100000Queens President Vice President Citywide EDLevel_AD34.csv,TRUE
Kathy C. Hochul / Antonio Delgado,14780,2,Democratic + Working Families,General Election - 11/08/2022,Governor/Lieutenant Governor,00400200000Queens Governor Lieutenant Governor Citywide EDLevel_AD34.csv,TRUE
Lee Zeldin / Alison Esposito,7761,2,Republican + Conservative,General Election - 11/08/2022,Governor/Lieutenant Governor,00400200000Queens Governor Lieutenant Governor Citywide EDLevel_AD34.csv,TRUE
Catherine Rojas,450,1,Socialism & Lib,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
Curtis A. Sliwa,3185,2,Republican + Independent,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,TRUE
Eric L. Adams,7218,1,Democratic,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
Fernando Mateo,39,1,Save Our City,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
Quanda S. Francis,52,1,Empowerment,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
Raja Michael Flores,52,1,Humanity United,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
Skiboky Stora,4,1,Out Lawbreaker,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
Stacey H. Prussman,41,1,Libertarian,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
William A. Pepitone,105,1,Conservative,General Election 2021 - 11/02/2021,Mayor,00400200000Queens Mayor Citywide EDLevel_AD34.csv,FALSE
Anthony L. Herbert,650,2,Conservative + Independent,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv,TRUE
Devin W. Balkind,168,1,Libertarian,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv,FALSE
Dr. Devi Elizabeth Nampiaparampil,2592,2,Republican + Save Our City,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv,TRUE
Jumaane D. Williams,7460,1,Democratic,General Election 2021 - 11/02/2021,Public Advocate,00400300000Queens Public Advocate Citywide EDLevel_AD34.csv,FALSE
Brad Lander,7519,1,Democratic,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv,FALSE
Daby Benjamine Carreras,2404,2,Republican + Save Our City,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv,TRUE
John A. Tabacco Jr.,135,1,Libertarian/Independent,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv,FALSE
Paul A. Rodriguez,761,1,Conservative,General Election 2021 - 11/02/2021,City Comptroller,00400400000Queens City Comptroller Citywide EDLevel_AD34.csv,FALSE
Paul Rodriguez,7060,2,Republican + Conservative,General Election - 11/08/2022,State Comptroller,00400500000Queens State Comptroller Citywide EDLevel_AD34.csv,TRUE
Thomas P. DiNapoli,14786,2,Democratic + Working Families,General Election - 11/08/2022,State Comptroller,00400500000Queens State Comptroller Citywide EDLevel_AD34.csv,TRUE
Donovan J. Richards Jr.,7947,1,Democratic,General Election 2021 - 11/02/2021,Borough President,00400500013Queens Borough President Queens EDLevel_AD34.csv,FALSE
Thomas J. Zmich,2791,2,Republican/Save Our City + Conservative,General Election 2021 - 11/02/2021,Borough President,00400500013Queens Borough President Queens EDLevel_AD34.csv,TRUE
Letitia A. James,14712,2,Democratic + Working Families,General Election - 11/08/2022,Attorney General,00400600000Queens Attorney General Citywide EDLevel_AD34.csv,TRUE
Michael Henry,7196,2,Republican + Conservative,General Election - 11/08/2022,Attorney General,00400600000Queens Attorney General Citywide EDLevel_AD34.csv,TRUE
Charles E. Schumer,15404,2,Democratic + Working Families,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv,TRUE
Diane Sare,175,1,LaRouche,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv,FALSE
Joe Pinion,6556,2,Republican + Conservative,General Election - 11/08/2022,United States Senator,00400700000Queens United States Senator Citywide EDLevel_AD34.csv,TRUE
Edwin DeJesus,32,1,Green,General Election 2021 - 11/02/2021,Member of the City Council,00400700022Queens Member of the City Council 22nd Council District EDLevel_AD34.csv,FALSE
