ED,ED_num,total_votes
34001,1,906
34002,2,128
34003,3,550
34004,4,697
34005,5,852
34006,6,72
34007,7,756
34008,8,887
34009,9,694
34010,10,449
34011,11,255
34012,12,988
34013,13,882
34014,14,1012
34015,15,361
34016,16,302
34017,17,709
34018,18,821
34019,19,775
34020,20,875
34021,21,425
34022,22,252
34023,23,271
34024,24,740
34025,25,776
34026,26,118
34027,27,578
34028,28,284
34029,29,456
34030,30,466
34031,31,681
34032,32,417
34033,33,292
34034,34,485
34035,35,347
34036,36,683
34037,37,349
34038,38,335
34039,39,689
34040,40,403
34041,41,749
34042,42,544
34043,43,553
34044,44,585
34045,45,279
34046,46,741
34047,47,671
34048,48,427
34049,49,729
34050,50,167
34051,51,615
34052,52,726
34053,53,58
34054,54,461
34055,55,197
34056,56,470
34057,57,91
34058,58,58
34059,59,59
34060,60,60
