date,year,election_type,top_office,avg_turnout,month
2021-06-22,2021,Primary,Judge of the Civil Court - County,8755,NA
2021-11-02,2021,General,Mayor,10084.1875,NA
2022-06-28,2022,Primary,Governor,3749.6,NA
2022-08-23,2022,General,U.S. Congress,234,NA
2022-11-08,2022,General,Governor,18619.555555555555,NA
2024-04-02,2024,General,President,2146.6,NA
2024-06-25,2024,Primary,Surrogate,4600.2,NA
2024-11-05,2024,General,President,39358.5,NA
2025-06-24,2025,Primary,Judge of the Civil Court - County,7513.333333333333,NA
2025-11-04,2025,General,Mayor,30258,Nov
