file,election_date,date,office,winner_name,winner_votes,year,month,election_type,office_clean
00400200000Queens Mayor Citywide EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Mayor,Eric L. Adams,7218,2021,Nov,General,Mayor
00400300000Queens Public Advocate Citywide EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Public Advocate,Jumaane D. Williams,7460,2021,Nov,General,Public Advocate
00400400000Queens City Comptroller Citywide EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,City Comptroller,Brad Lander,7519,2021,Nov,General,NYC Comptroller
00400500013Queens Borough President Queens EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Borough President,Donovan J. Richards Jr.,7947,2021,Nov,General,Borough President
00400700021Queens Member of the City Council 21st Council District EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Member of the City Council,Francisco P. Moya,1110,2021,Nov,General,City Council
00400700022Queens Member of the City Council 22nd Council District EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Member of the City Council,Tiffany Caban,547,2021,Nov,General,City Council
00400700025Queens Member of the City Council 25th Council District EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Member of the City Council,Shekar Krishnan,4309,2021,Nov,General,City Council
00400700026Queens Member of the City Council 26th Council District EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Member of the City Council,Julie Won,1137,2021,Nov,General,City Council
00400700030Queens Member of the City Council 30th Council District EDLevel_AD34.csv,General Election 2021 - 11/02/2021,2021-11-02,Member of the City Council,Robert F. Holden,81,2021,Nov,General,City Council
00400200000Queens Governor Lieutenant Governor Citywide EDLevel_AD34.csv,General Election - 11/08/2022,2022-11-08,Governor/Lieutenant Governor,Kathy C. Hochul / Antonio Delgado,14780,2022,Nov,General,Governor
00400500000Queens State Comptroller Citywide EDLevel_AD34.csv,General Election - 11/08/2022,2022-11-08,State Comptroller,Thomas P. DiNapoli,14786,2022,Nov,General,State Comptroller
00400600000Queens Attorney General Citywide EDLevel_AD34.csv,General Election - 11/08/2022,2022-11-08,Attorney General,Letitia A. James,14712,2022,Nov,General,Attorney General
