name,address,phone,source
Islamic Center of Jackson Heights (Masjid Abu Huraira),78-04 31st Ave East Elmhurst NY 11370,(718) 424-8502,verified
Masjid Al-Hikmah,48-01 31st Ave Astoria NY 11103,(718) 721-8881,verified
Astoria Islamic Center (Masjid Baitul Mukarram),22-21 33rd St Astoria NY 11105,(718) 204-7562,verified
MAS Queens Center,46-01 20th Ave Astoria NY 11105,,verified
Muslim Society of Queens - Dar Al-Dawah,35-13 23rd Ave Astoria NY 11105,(718) 274-2474,verified
Jackson Heights Islamic Center,71-20 Roosevelt Ave Jackson Heights NY 11372,,web
Masjid Dar-ul-Furqan,73-18 37th Ave Jackson Heights NY 11372,,web
Alamin Jame Masjid,35-19 36th Ave Astoria NY 11106,(718) 729-6325,web
MAS Ibn Sina Center,22-49 31st St Astoria NY 11105,,web
Muslim Ummah in America,23-36 30th Ave Astoria NY 11102,,web
Masjid Tiba,25-01 48th St Astoria NY 11103,,osm
Islamic Center of Corona (Masjid Alfalah),42-12 National Street Corona NY 11368,(718) 476-7968,web
Al-Falah Mosque,92-12 National Street Corona NY 11368,,literature
